wristFlexionExtension,wristRotation,Index MCP,Index PIP,Index DIP,Middle MCP,Middle PIP,Middle DIP,Ring MCP,Ring PIP,Ring DIP,Pinky MCP,Pinky PIP,Pinky DIP,Thumb roll,Thumb MCP,Thumb PIP
0,0,136.8053099,123.6703453,145.464432,148.5464992,115.7092415,138.4959646,164.0613323,124.541795,117.9838611,173.1799288,140.9826973,97.4088271,156.7960958,155.8407023,177.0638072
0,0,135.7714369,115.4534052,134.4035875,149.490019,100.7575071,128.6372185,162.1013061,115.6524024,102.8711488,169.7053754,137.9740138,77.39954167,154.6526462,152.079705,171.862057
0,0,132.9315459,110.6340822,129.1233111,146.7501457,102.5382936,123.00092,161.4258361,114.5693457,102.2972966,168.919347,135.3707645,70.27699267,164.8544852,156.5026453,174.1370966
0,0,131.5392544,102.0250099,123.4474369,146.3582555,94.51500286,120.5893239,161.7847537,107.365044,102.3947744,166.7440119,126.5731671,73.66966772,175.2139246,157.6940537,171.3989584
0,0,126.1770523,103.219659,121.9014012,141.6764627,95.9535792,120.4825019,157.4585723,105.2964182,104.2475595,161.7221213,123.2268484,77.26550665,174.1138711,160.266086,173.8421094
0,0,121.7133185,97.26247756,120.5436054,137.9848841,90.46383583,123.9814715,157.1202288,96.94969668,111.1643286,161.3026081,109.1382711,88.32207605,169.7352512,157.392972,172.5361651
0,0,118.5998337,86.07948457,119.6902533,136.1935156,79.50696502,129.2966528,155.1053795,83.83885691,119.6966629,159.3182613,85.98358731,109.8637187,166.2340728,155.7082149,171.5006524
0,0,116.5366502,79.27071393,122.2190377,134.4065666,76.06500428,131.6565252,154.0163731,83.50137896,121.2525453,158.110858,89.87250803,108.2214737,167.3802999,154.3349574,169.3836157
0,0,114.380089,71.85938855,125.8345973,131.2920705,65.57686096,132.3534433,149.7140344,70.45947597,127.7606512,158.1253558,64.28507882,130.9432838,164.3962987,153.0184343,169.265137
0,0,113.4191243,70.90552118,126.5401275,129.4022543,67.72059261,132.3644451,147.8992304,76.59564447,123.813763,157.2006446,65.33503159,129.0997602,169.6121673,151.7756225,169.4219971
0,0,109.9618436,77.37826852,123.8901415,128.1545934,75.42572609,132.7482257,147.7644547,86.58900595,121.7307628,155.7662913,90.51829164,109.8360795,172.8666587,151.9203576,169.0583668
0,0,107.8526647,74.75728087,125.5480771,125.4666329,73.43467587,133.1048902,145.253487,83.30487942,121.7719848,154.6754182,83.40272413,115.2004562,168.4367555,152.1270803,169.4224226
0,0,106.6701072,71.46823332,128.0292096,124.5431779,69.07897823,134.4786141,144.3544867,80.80536103,122.9601747,155.0277718,77.80725013,117.8900246,169.5037489,152.4085635,169.9052537
0,0,106.4448517,73.5415764,127.8563734,124.9373145,71.44928195,135.5187412,145.1375014,83.5271318,122.6132375,155.6311888,86.11173537,112.3181057,167.4277566,151.8237649,170.4029233
0,0,105.1040612,75.67387463,125.9803012,124.2840329,73.76472637,132.2303239,144.9035573,85.19093456,120.3339725,155.9003261,87.75617548,110.0320362,164.4338624,152.170366,169.4278373
0,0,104.2402297,74.46800186,126.4449367,123.1517909,72.30497761,130.7193361,143.870365,81.92915633,120.4225858,155.876111,81.95667647,114.4735644,165.0502925,151.6109699,168.749264
0,0,102.5280287,80.05638981,123.3420101,122.4488073,81.33324729,128.9048897,143.7681541,93.55959815,115.9334264,155.362282,102.8230313,98.11841815,165.584716,151.6914847,167.7758292
0,0,102.6387974,73.30376263,126.9811225,122.0702137,72.47273227,131.5409778,143.1506857,82.14581672,121.3258024,155.6748323,89.13060547,110.0157542,159.8617524,151.2398581,168.756486
0,0,100.4600372,71.75464822,126.7064826,119.6634133,72.30033612,129.8577893,140.9837223,81.41344666,119.3050905,154.1689454,88.07390663,110.4740886,160.5018041,151.9913133,168.0748171
0,0,100.579933,72.41907783,126.0814495,119.3094491,70.035985,129.9740538,140.2945362,76.81593237,121.8670283,152.9888151,87.59839718,111.0003299,161.5347355,152.4758447,168.4783782
0,0,100.5672736,73.20881072,125.8961698,119.4895485,70.91636939,129.3686988,141.0257947,78.19620726,120.7473949,153.6859,90.78156868,107.3791968,161.1543503,152.0870496,168.4206616
0,0,100.3511416,72.20815801,125.0665466,119.2519926,68.84157826,127.5264134,140.1143395,74.0301766,120.2326594,152.7813904,80.19206452,115.5515814,159.3225404,153.7365951,168.6594523
0,0,100.9311218,75.69013152,123.4011395,120.1918663,71.70943926,125.9008183,141.6356213,76.78926564,117.8969865,153.6387141,83.83116692,111.1147969,159.5879791,153.3350385,170.035465
0,0,100.1468693,71.46139655,125.2697329,119.0633069,66.91898423,127.1388161,139.8740913,69.20828525,121.5174379,153.4799144,67.36152853,125.6127703,158.130878,152.3804177,169.5495045
0,0,99.68451362,68.04240951,126.6685414,118.9014465,65.33115024,127.810611,139.9828525,69.53007217,121.079502,153.6668069,68.8577611,123.1356947,160.4434425,154.3522787,169.7030121
0,0,100.1152073,71.49465728,125.0412717,119.6203012,68.37163034,125.8738093,140.5772424,70.96774072,118.9544931,153.9565383,72.87762789,119.3826027,159.3726281,154.1139452,170.4820255
0,0,100.3434696,67.98513034,127.1844138,119.6199998,63.91213994,127.989323,140.5150367,66.09419767,122.3483355,153.9157066,64.45265251,126.5954706,159.2132176,153.9897384,170.2005419
